Date,Hour,AvgDissolvedOxygenInput,AvgWaterTemperatureInput,AvgDissolvedOxygenOutput,AvgWaterTemperatureOutput,OxygenDiff,AvgWaterSurfaceElevationInput,AvgWaterSurfaceElevationOutput,mean_GlobalSolarRadiationCampodarsego,mean_GlobalSolarRadiationLegnaro,mean_Max_AirRel_Humidity,mean_Min_AirRel_Humidity,mean_Tair_mean,sum_Precipitation,DateHour,IsRainy,aggPrecipitation
01-Dec-2022,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,79,72,5.7,0,01-Dec-2022 01:00:00,0,0
01-Dec-2022,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,82,66,6.4,0,01-Dec-2022 02:00:00,0,0
01-Dec-2022,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,74,64,7,0,01-Dec-2022 03:00:00,0,0
01-Dec-2022,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,78,65,6.5,0,01-Dec-2022 04:00:00,0,0
01-Dec-2022,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,100,89,4.7,0,01-Dec-2022 05:00:00,0,0
01-Dec-2022,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,100,100,3.4,0,01-Dec-2022 06:00:00,0,0
01-Dec-2022,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,100,100,2.7,0,01-Dec-2022 07:00:00,0,0
01-Dec-2022,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,9,100,100,2.5,0,01-Dec-2022 08:00:00,0,0
01-Dec-2022,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,93,100,100,3.9,0,01-Dec-2022 09:00:00,0,0
01-Dec-2022,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,254,239,100,62,7.5,0,01-Dec-2022 10:00:00,0,0
01-Dec-2022,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,356,303,59,56,9.4,0,01-Dec-2022 11:00:00,0,0
01-Dec-2022,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,333,53,50,10.9,0,01-Dec-2022 12:00:00,0,0
01-Dec-2022,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,248,281,52,50,11.3,0,01-Dec-2022 13:00:00,0,0
01-Dec-2022,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,227,171,52,50,11.1,0,01-Dec-2022 14:00:00,0,0
01-Dec-2022,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,99,57,52,10.7,0,01-Dec-2022 15:00:00,0,0
01-Dec-2022,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,54,60,56,10.1,0,01-Dec-2022 16:00:00,0,0
01-Dec-2022,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,74,62,8.6,0,01-Dec-2022 17:00:00,0,0
01-Dec-2022,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,88,73,7.2,0,01-Dec-2022 18:00:00,0,0
01-Dec-2022,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,100,85,6.3,0,01-Dec-2022 19:00:00,0,0
01-Dec-2022,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,90,64,8,0,01-Dec-2022 20:00:00,0,0
01-Dec-2022,21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,67,66,8,0,01-Dec-2022 21:00:00,0,0
01-Dec-2022,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,68,63,8.1,0,01-Dec-2022 22:00:00,0,0
01-Dec-2022,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,67,64,8,0,01-Dec-2022 23:00:00,0,0
02-Dec-2022,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,75,70,7.5,0,02-Dec-2022 00:00:00,0,0
02-Dec-2022,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,84,78,7.2,0,02-Dec-2022 01:00:00,0,0
02-Dec-2022,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,84,81,7.2,0,02-Dec-2022 02:00:00,0,0
02-Dec-2022,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,87,83,7.2,0,02-Dec-2022 03:00:00,0,0
02-Dec-2022,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,100,85,7.1,0,02-Dec-2022 04:00:00,0,0
02-Dec-2022,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,100,100,6.9,0,02-Dec-2022 05:00:00,0,0
02-Dec-2022,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,100,100,6.9,0,02-Dec-2022 06:00:00,0,0
02-Dec-2022,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,100,100,6.8,0,02-Dec-2022 07:00:00,0,0
02-Dec-2022,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,100,100,6.8,0,02-Dec-2022 08:00:00,0,0
02-Dec-2022,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21,31,100,100,7,0,02-Dec-2022 09:00:00,0,0
02-Dec-2022,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,78,100,90,7.3,0,02-Dec-2022 10:00:00,0,0
02-Dec-2022,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,185,94,86,83,7.5,0,02-Dec-2022 11:00:00,0,0
02-Dec-2022,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,197,86,82,7.7,0,02-Dec-2022 12:00:00,0,0
02-Dec-2022,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,131,246,81,77,8.4,0,02-Dec-2022 13:00:00,0,0
02-Dec-2022,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,157,91,79,74,8.7,0,02-Dec-2022 14:00:00,0,0
02-Dec-2022,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,42,83,77,8.4,0,02-Dec-2022 15:00:00,0,0
02-Dec-2022,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,9,76,74,8.3,0,02-Dec-2022 16:00:00,0,0
02-Dec-2022,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,78,75,8.1,0,02-Dec-2022 17:00:00,0,0
02-Dec-2022,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,87,80,7.7,0,02-Dec-2022 18:00:00,0,0
02-Dec-2022,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,94,89,7.5,0,02-Dec-2022 19:00:00,0,0
02-Dec-2022,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,92,89,7.4,0,02-Dec-2022 20:00:00,0,0
02-Dec-2022,21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,92,87,7.3,0,02-Dec-2022 21:00:00,0,0
02-Dec-2022,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,89,86,7.2,0,02-Dec-2022 22:00:00,0,0
02-Dec-2022,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,92,88,7.1,0,02-Dec-2022 23:00:00,0,0
03-Dec-2022,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,100,88,6.7,0,03-Dec-2022 00:00:00,0,0
03-Dec-2022,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,100,100,6.3,0,03-Dec-2022 01:00:00,0,0
03-Dec-2022,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,100,100,6.4,0,03-Dec-2022 02:00:00,0,0
03-Dec-2022,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,100,100,6.4,0,03-Dec-2022 03:00:00,0,0
03-Dec-2022,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,100,100,6.4,0,03-Dec-2022 04:00:00,0,0
03-Dec-2022,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,100,100,6.6,0,03-Dec-2022 05:00:00,0,0
03-Dec-2022,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,100,100,6.5,0.2,03-Dec-2022 06:00:00,0,0.2
03-Dec-2022,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,100,100,6.7,0.2,03-Dec-2022 07:00:00,0,0.4
